"route","ssnt","ssme","ssnti","ssmei"
"124_79_041",-1175.33826396422,-704.468850762882,-3234.16754514811,-3249.8515854841
"124_79_042",-1672.5390950554,-884.56695943527,-4753.13799274993,-4768.83358700631
"124_79_106",-1296.61452803462,-725.640514383181,-5287.80748511764,-5292.53898196937
"124_79_108",-701.771196154928,-501.638555867028,-2332.78276787012,-2351.88325162298
"124_79_109",-1648.92257940105,-669.552713535999,-4494.12691057829,-4503.83634696891
"124_79_111",-1943.94582738714,-788.274366604149,-5210.15448208932,-5209.75504271833
"124_79_112",-1973.72170226639,-849.040826870887,-6229.28417340154,-6244.80751253656
"124_79_113",-835.425301486395,-590.27459542842,-2508.76596462615,-2518.50549869126
"124_79_116",-772.642390306639,-481.541484607443,-2684.6407906521,-2693.93260131906
"124_79_117",-1090.24697811272,-541.165318054182,-5456.985511211,-5472.80752817283
"124_79_118",-1073.34197962284,-506.690176802777,-4917.00476347014,-4927.63968102488
"124_79_120",-2055.89976943587,-960.628497398268,-6435.24419000957,-6442.40381057174
"124_79_122",-2081.05180394544,-864.040418545852,-5785.99138362475,-5793.66274064491
"124_79_123",-1304.88104804976,-765.914097959858,-4797.278941501,-4808.68853910493
"124_79_124",-1075.55295430059,-623.274236576363,-4169.55760695288,-4180.56264141045
"124_79_130",-1892.80154285471,-877.216313056962,-5040.28682018872,-5049.66577447979
"124_79_132",-1687.68986712933,-886.588084939911,-6373.18983760489,-6376.66420984642
"124_79_133",-1092.61038653151,-673.305962565248,-4032.79560573484,-4041.90242786262
"124_79_141",-1178.23056901743,-661.785567764671,-3270.20897871793,-3268.67874975808
"124_79_142",-1829.46808891064,-879.41872099933,-6310.26816120217,-6315.31870109624
"124_79_217",-855.607406880869,-495.485256346064,-5373.27882459889,-5400.95127015299
"124_93_006",-683.390048336637,-423.63438347251,-1701.89842425062,-1709.51585930392
"124_93_010",-770.950544482653,-476.056321538287,-2137.19458392796,-2149.09338411398
"124_93_021",-439.120142047075,-346.922082172492,-1837.30632859113,-1840.81853455877
"124_93_026",-602.496326536564,-374.565267130302,-1807.30717658997,-1816.93555376497
"124_93_051",-383.60488028279,-299.897434924842,-1528.76055656203,-1530.00286433684
"124_93_052",-394.044205970745,-369.8495999537,-1691.70660821003,-1710.35180787377
"124_93_064",-394.765963719779,-264.026355828165,-2029.13842011138,-2031.95438933782
"124_93_078",-463.978575377213,-257.857771999908,-1426.21909654597,-1427.11582830923
"124_93_079",-490.355729540863,-289.321037273862,-1765.02422303349,-1772.5868994073
"124_93_112",-488.334261673793,-342.151561638581,-1105.26869498402,-1113.01264500113
"124_93_164",-1083.56743064003,-476.650070352477,-3123.20765591087,-3137.42297584273
"840_02_001",-859.116489086167,-655.774588056587,-3888.77292334708,-3888.63826255739
"840_02_006",-1212.55711309409,-567.492408791205,-3599.4488689738,-3601.25377619356
"840_02_007",-1184.82092213821,-692.66390028347,-4312.18296238812,-4316.5132319914
